Employee_ID,Department,Shift_Date,Shift_Start,Shift_End,Hours_Worked,Position,Certification_Status,Overtime_Hours,Break_Hours,Skill_Level,Pay_Rate
E001,ER,2023-01-15,07:00,19:00,12,RN,Active,2,1,Senior,45.00
E002,ICU,2023-01-15,07:00,19:00,12,RN,Expired,4,1,Junior,35.00
E001,ER,2023-01-15,19:00,07:00,12,RN,Active,6,1,Senior,45.00
E004,Surgery,2023-01-16,07:00,19:00,12,Surgeon,Active,0,1,Senior,120.00
E005,ER,2023-01-16,15:00,23:00,8,RN,,0,1,Mid-Level,40.00
E006,ICU,2023-01-16,23:00,07:00,8,RN,Active,2,1,Senior,45.00
E007,Surgery,2023-01-17,07:00,19:00,12,Surgeon,Active,0,1,Senior,115.00
E002,ICU,2023-01-17,07:00,19:00,12,rn,expired,8,0,Junior,35.00
E008,ER,2023-01-17,15:00,23:00,8,RN,Active,0,1,Mid-level,40.00
E009,ICU,2023-01-18,07:00,19:00,12,RN,Active,4,1,Senior,45.00